DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,136
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,223
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,80
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,12
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,10
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,46
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,49
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,48
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,51
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,61
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,260
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,10
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,103
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,199
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,106
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,128
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,132
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,21
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,32
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,49
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,40
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,56
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,21
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,172
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,146
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,82
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,158
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,145
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,127
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,25
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,6
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,52
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,80
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,186
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,96
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,68
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,75
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,27
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,33
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,78
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,56
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,66
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,65
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,92
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,15
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,156
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,53
