DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
WattsStrogatz,0.03015,1.2,3,0.8,0,5,9
WattsStrogatz,0.03015,1.2,3,0.8,0,5,142
WattsStrogatz,0.03015,1.2,3,0.8,0,5,45
WattsStrogatz,0.03015,1.2,3,0.8,0,5,46
WattsStrogatz,0.03015,1.2,3,0.8,0,5,153
WattsStrogatz,0.03015,1.2,3,0.8,0,5,2
WattsStrogatz,0.03015,1.2,3,0.8,0,5,167
WattsStrogatz,0.03015,1.2,3,0.8,0,5,30
WattsStrogatz,0.03015,1.2,3,0.8,0,5,50
WattsStrogatz,0.03015,1.2,3,0.8,0,5,150
WattsStrogatz,0.03015,1.2,3,0.8,0,5,46
WattsStrogatz,0.03015,1.2,3,0.8,0,5,10
WattsStrogatz,0.03015,1.2,3,0.8,0,5,85
WattsStrogatz,0.03015,1.2,3,0.8,0,5,13
WattsStrogatz,0.03015,1.2,3,0.8,0,5,15
WattsStrogatz,0.03015,1.2,3,0.8,0,5,64
WattsStrogatz,0.03015,1.2,3,0.8,0,5,137
WattsStrogatz,0.03015,1.2,3,0.8,0,5,6
WattsStrogatz,0.03015,1.2,3,0.8,0,5,37
WattsStrogatz,0.03015,1.2,3,0.8,0,5,24
WattsStrogatz,0.03015,1.2,3,0.8,0,5,17
WattsStrogatz,0.03015,1.2,3,0.8,0,5,59
WattsStrogatz,0.03015,1.2,3,0.8,0,5,5
WattsStrogatz,0.03015,1.2,3,0.8,0,5,20
WattsStrogatz,0.03015,1.2,3,0.8,0,5,79
WattsStrogatz,0.03015,1.2,3,0.8,0,5,13
WattsStrogatz,0.03015,1.2,3,0.8,0,5,68
WattsStrogatz,0.03015,1.2,3,0.8,0,5,22
WattsStrogatz,0.03015,1.2,3,0.8,0,5,54
WattsStrogatz,0.03015,1.2,3,0.8,0,5,21
WattsStrogatz,0.03015,1.2,3,0.8,0,5,85
WattsStrogatz,0.03015,1.2,3,0.8,0,5,51
WattsStrogatz,0.03015,1.2,3,0.8,0,5,35
WattsStrogatz,0.03015,1.2,3,0.8,0,5,42
WattsStrogatz,0.03015,1.2,3,0.8,0,5,51
WattsStrogatz,0.03015,1.2,3,0.8,0,5,103
WattsStrogatz,0.03015,1.2,3,0.8,0,5,58
WattsStrogatz,0.03015,1.2,3,0.8,0,5,2
WattsStrogatz,0.03015,1.2,3,0.8,0,5,35
WattsStrogatz,0.03015,1.2,3,0.8,0,5,103
WattsStrogatz,0.03015,1.2,3,0.8,0,5,238
WattsStrogatz,0.03015,1.2,3,0.8,0,5,40
WattsStrogatz,0.03015,1.2,3,0.8,0,5,107
WattsStrogatz,0.03015,1.2,3,0.8,0,5,41
WattsStrogatz,0.03015,1.2,3,0.8,0,5,85
WattsStrogatz,0.03015,1.2,3,0.8,0,5,111
WattsStrogatz,0.03015,1.2,3,0.8,0,5,4
WattsStrogatz,0.03015,1.2,3,0.8,0,5,55
WattsStrogatz,0.03015,1.2,3,0.8,0,5,156
WattsStrogatz,0.03015,1.2,3,0.8,0,5,122
WattsStrogatz,0.03015,1.2,3,0.8,0,5,76
WattsStrogatz,0.03015,1.2,3,0.8,0,5,70
WattsStrogatz,0.03015,1.2,3,0.8,0,5,34
